id,Video_Id,Title,Channel_Name,Category,Description,Views,Likes,Dislikes,Comments,Date,Time,Thumb,Video
62,uEwGJbDvVT8QeCK0,Guest in London -  Official Trailer  Paresh Rawal Kartik Aaryan Kriti Kharbanda Tanvi Azmi,shubhum, Comedy,"A young couple in London struggle to live with their estranged aunt and uncle, who overstay their welcome.",0,0,0,,07-03-2020,09:20,media/Guest_in_London_-__Official_Trailer__Paresh_Rawal_Kartik_Aaryan_Kriti_Kharbanda_Tanvi_Azmi.jpg,media/Guest_in_London_-__Official_Trailer__Paresh_Rawal_Kartik_Aaryan_Kriti_Kharbanda_Tanvi_Azmi.mp4
63,5Wq3mWYDx4mCSysl,Gully Boy - Official Trailer  Ranveer Singh  Alia Bhatt  Zoya Akhtar 14th February,shubhum, Documentary Music,The revolution is here. Witness gully rap rises from the streets of Mumbai to the biggest stage in the history of Indian hip-hop. This is an Amazon Prime Exclusive documentary on film Gully Boy's music launch and concert in mumbai.,35,1,1,,07-03-2020,09:20,media/Gully_Boy_-_Official_Trailer__Ranveer_Singh__Alia_Bhatt__Zoya_Akhtar_14th_February.jpg,media/Gully_Boy_-_Official_Trailer__Ranveer_Singh__Alia_Bhatt__Zoya_Akhtar_14th_February.mp4
64,7PrcFnz33ORNwouA,Half Girlfriend - Official Trailer  Arjun Kapoor  Shraddha Kapoor  19th May 2017,shubhum, Drama Romance,"A boy meets a girl named Riya and falls in love. After struggling to convince her to be his girlfriend, she half-heartedly agrees to be his `half-girlfriend'.",0,0,0,,07-03-2020,09:20,media/Half_Girlfriend_-_Official_Trailer__Arjun_Kapoor__Shraddha_Kapoor__19th_May_2017.jpg,media/Half_Girlfriend_-_Official_Trailer__Arjun_Kapoor__Shraddha_Kapoor__19th_May_2017.mp4
65,04sEEbvlAs137Bcn,Housefull 4 - Official TrailerAkshayRiteishBobbyKriti SPoojaKriti KSajid NFarhad Oct 25,shubhum, Comedy Drama,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.",0,0,0,,07-03-2020,09:20,media/Housefull_4_-_Official_TrailerAkshayRiteishBobbyKriti_SPoojaKriti_KSajid_NFarhad_Oct_25.jpg,media/Housefull_4_-_Official_TrailerAkshayRiteishBobbyKriti_SPoojaKriti_KSajid_NFarhad_Oct_25.mp4
66,SknMkBvFp1jPA5hG,Indias Most Wanted - Official Trailer  Arjun Kapoor  Raj Kumar Gupta  24th May,shubhum, Action Thriller,Officer Prabhat and his team arrive in Nepal to verify a terror suspect and arrest him within a deadline of four days. A race against time ensues when Pakistani agencies start chasing them.,0,0,0,,07-03-2020,09:20,media/Indias_Most_Wanted_-_Official_Trailer__Arjun_Kapoor__Raj_Kumar_Gupta__24th_May.jpg,media/Indias_Most_Wanted_-_Official_Trailer__Arjun_Kapoor__Raj_Kumar_Gupta__24th_May.mp4
67,o8TxnLerSpLXlH9c,Jawaani Jaaneman - Official Trailer  Saif Ali Khan Tabu Alaya F  Nitin K  31st Jan 2020,shubhum, Comedy,The carefree life of a 40-year-old playboy comes to a standstill when he comes to know that he has a 20 something-year-old daughter.,0,0,0,,07-03-2020,09:20,media/Jawaani_Jaaneman_-_Official_Trailer__Saif_Ali_Khan_Tabu_Alaya_F__Nitin_K__31st_Jan_2020.jpg,media/Jawaani_Jaaneman_-_Official_Trailer__Saif_Ali_Khan_Tabu_Alaya_F__Nitin_K__31st_Jan_2020.mp4
68,mT6XS7cMCzI3H1Xe,Judgementall Hai Kya - Official Trailer  Kangana Ranaut Rajkummar Rao  26th July 2019,shubhum, Comedy Drama Thriller,"When Bobby meets her new tenants, a young married couple, their perfectly normal life leaves her really curious. But then a murder takes place and Bobby suspects Keshav has a role to play in the crime.",0,0,0,,07-03-2020,09:21,media/Judgementall_Hai_Kya_-_Official_Trailer__Kangana_Ranaut_Rajkummar_Rao__26th_July_2019.jpg,media/Judgementall_Hai_Kya_-_Official_Trailer__Kangana_Ranaut_Rajkummar_Rao__26th_July_2019.mp4
69,JAIrDnj6VeWTT7Bd,Kedarnath - Official Trailer  Sushant Singh Rajput  Sara Ali Khan  Abhishek Kapoor  7th December,shubhum, Romance,"Mansoor, a reserved and reticent Pithoo (porter), helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love.",0,0,0,,07-03-2020,09:21,media/Kedarnath_-_Official_Trailer__Sushant_Singh_Rajput__Sara_Ali_Khan__Abhishek_Kapoor_OH4Mqr8.jpg,media/Kedarnath_-_Official_Trailer__Sushant_Singh_Rajput__Sara_Ali_Khan__Abhishek_Kapoor_ASeh6be.mp4
70,GaJ5ykmeiP0rmapu,Kesari - Official Trailer  Akshay Kumar  Parineeti Chopra  Anurag Singh,shubhum, Action Drama History,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down.",0,0,0,,07-03-2020,09:21,media/Kesari_-_Official_Trailer__Akshay_Kumar__Parineeti_Chopra__Anurag_Singh.jpg,media/Kesari_-_Official_Trailer__Akshay_Kumar__Parineeti_Chopra__Anurag_Singh.mp4
71,9iSpDZEXwKaFUDsS,Laal Kaptaan - Official Trailer 18th October 2019  Saif Ali Khan  Aanand L Rai,shubhum, Action Drama,"In an 18th century setting, a Naga sadhu in India sets out on a journey across Bundelkhand to seek revenge for an injustice committed in the past.",0,0,0,,07-03-2020,09:21,media/Laal_Kaptaan_-_Official_Trailer_18th_October_2019__Saif_Ali_Khan__Aanand_L_Rai.jpg,media/Laal_Kaptaan_-_Official_Trailer_18th_October_2019__Saif_Ali_Khan__Aanand_L_Rai.mp4
